"name","isFork","commits","branches","defaultBranch","releases","contributors","license","watchers","stargazers","forks","size","createdAt","pushedAt","updatedAt","homepage","mainLanguage","totalIssues","openIssues","totalPullRequests","openPullRequests","lastCommit","lastCommitSHA","hasWiki","isArchived"
"tensorflow/tensorboard",false,5180,36,"master",43,257,"Apache License 2.0",191,5979,1536,116938,"2017-05-15T08:08:07","2022-09-13T11:28:19","2022-09-13T10:37:23",,"TypeScript",1674,536,4235,54,"2022-09-08T08:46:43","b872b6bbae9005682839ebd08082fbe428a79ac6",false,false
"somaticio/tensorflow.rb",false,241,2,"master",0,13,"BSD 3-Clause New or Revised License",51,828,66,2760,"2016-06-16T02:59:51","2022-01-10T03:41:18","2022-01-10T03:41:23","","Ruby",37,13,73,1,"2022-01-10T03:41:18","e8723ddb973fbb5122bcd05c95dff5b9888809b1",true,false
"tensorflow/tflite-micro",false,898,1,"main",0,66,"Apache License 2.0",31,892,455,23746,"2021-04-08T09:40:50","2022-09-26T07:34:45","2022-09-25T10:26:31","","C++",379,106,1064,15,"2022-09-24T12:01:36","b496b2c2f2772313d3a77e435d6da5448ff39485",false,false
"tensorflow/runtime",false,3369,3,"master",0,76,"Apache License 2.0",49,687,116,24113,"2020-04-24T07:25:39","2022-09-30T03:58:42","2022-09-26T06:03:17","","C++",66,37,43,4,"2022-09-30T03:58:39","b9a7e4a5e93616c0ae7eb0c27f75d9556b6f3b40",true,false
"openvinotoolkit/openvino_tensorflow",false,1519,109,"master",8,53,"Other",17,171,47,25830,"2021-01-21T07:41:50","2023-01-23T05:51:31","2023-01-18T05:50:15","","C++",27,2,396,0,"2023-01-23T05:51:29","5ce8c319534153dd3027ba2bd165f2b2606abb47",true,false
"tensorflow/decision-forests",false,338,4,"main",20,25,"Apache License 2.0",19,516,79,4486,"2021-04-22T02:37:50","2022-10-28T10:01:27","2022-10-31T03:20:29","","Python",112,28,28,9,"2022-10-28T10:01:25","61117cd69cead5061ab60e14611a1a47fe9df6c1",false,false
"tensorflow/similarity",false,364,11,"master",4,23,"Apache License 2.0",30,912,89,170362,"2020-06-15T05:17:11","2022-12-29T05:40:27","2023-01-04T08:24:05","","Python",161,43,144,3,"2022-12-02T01:52:32","a9936860f22ca4fae66da941734b91dc466416b9",false,false
"tensorflow/build",false,255,8,"master",0,26,"Apache License 2.0",26,175,63,286,"2019-11-15T09:35:07","2022-12-29T08:01:44","2022-12-27T10:17:31","","Shell",42,21,87,1,"2022-12-29T08:01:43","9780bf98f804803d3d9829d4252b79d408b81b0f",true,false
"floopcz/tensorflow_cc",false,336,1,"master",16,9,"MIT License",38,730,182,223,"2017-05-24T07:37:01","2022-06-25T02:46:04","2022-06-29T05:18:59","","Shell",207,6,87,0,"2022-06-25T02:45:51","a054557cf27fe2f8a59b4304bcfcd419b64df43a",false,false
"tensorflow/community",false,1278,33,"master",0,118,"Apache License 2.0",157,1157,571,15906,"2018-05-25T05:23:23","2023-01-25T08:30:07","2023-02-02T04:12:05","","C++",101,6,317,21,"2022-12-09T06:40:32","115e1852304ce2450a6b643d0857cd292497825b",false,false
"tensorflow/gnn",false,256,9,"main",4,13,"Apache License 2.0",33,727,80,1701,"2021-08-10T08:21:44","2022-08-04T10:01:05","2022-08-08T06:52:56","","Python",29,12,48,7,"2022-08-03T09:17:05","459140659cc5ea49f4e167116397b1b450e06279",false,false
"martinsbruveris/tensorflow-image-models",false,253,10,"main",16,6,"Apache License 2.0",9,223,17,616,"2021-11-09T09:47:59","2022-10-28T09:33:02","2022-10-29T03:01:38","https://tfimm.readthedocs.io/en/latest/","Python",10,1,59,2,"2022-10-28T09:32:05","b6742e455fe0d9a550f829917a8cef68000831b5",true,false
"tensorflow/rust",false,844,5,"master",0,46,"Apache License 2.0",118,4155,375,43531,"2016-02-05T12:32:17","2023-01-05T03:57:10","2023-01-14T07:26:51","","Rust",168,49,222,6,"2023-01-05T03:57:10","3f3f618678ffb42677366ee820d34b3772f18281",false,false
"divamgupta/stable-diffusion-tensorflow",false,112,3,"master",0,13,"Other",20,1339,188,2130,"2022-09-15T04:46:25","2023-01-17T10:58:58","2023-01-30T04:04:10","","Python",38,22,26,4,"2022-11-22T08:00:51","6db7e56b7f423405b4668c601409e17f0f978e55",true,false
